Tipo,Cantidad,Fecha,Pais,Estado
Confirmed,53,1-24-2020,China,Guangdong
Confirmed,15,1-24-2020,China,Shandong
Confirmed,5,1-24-2020,China,Yunnan
Confirmed,0,1-24-2020,China,Qinghai
Confirmed,9,1-24-2020,China,Henan
Confirmed,24,1-24-2020,China,Hunan
Confirmed,20,1-24-2020,China,Shanghai
Confirmed,2,1-24-2020,China,Hebei
Confirmed,549,1-24-2020,China,Hubei
Confirmed,2,1-24-2020,China,Xinjiang
Confirmed,15,1-24-2020,China,Anhui
Confirmed,9,1-24-2020,China,Jiangsu
Confirmed,27,1-24-2020,China,Chongqing
Confirmed,23,1-24-2020,China,Guangxi
Confirmed,5,1-24-2020,China,Shaanxi
Confirmed,8,1-24-2020,China,Tianjin
Confirmed,15,1-24-2020,China,Sichuan
Confirmed,1,1-24-2020,China,Inner Mongolia
Confirmed,3,1-24-2020,China,Guizhou
Confirmed,4,1-24-2020,China,Heilongjiang
Confirmed,2,1-24-2020,China,Ningxia
Confirmed,10,1-24-2020,China,Fujian
Confirmed,18,1-24-2020,China,Jiangxi
Confirmed,3,1-25-2020,China,Xinjiang
Confirmed,9,1-25-2020,China,Heilongjiang
Confirmed,0,1-25-2020,China,Tibet
Confirmed,18,1-25-2020,China,Fujian
Confirmed,28,1-25-2020,China,Sichuan
Confirmed,3,1-25-2020,China,Ningxia
Confirmed,43,1-25-2020,China,Hunan
Confirmed,17,1-25-2020,China,Liaoning
Confirmed,15,1-25-2020,China,Shaanxi
Confirmed,761,1-25-2020,China,Hubei
Confirmed,10,1-25-2020,China,Tianjin
Confirmed,4,1-25-2020,China,Guizhou
Confirmed,18,1-25-2020,China,Jiangsu
Confirmed,4,1-25-2020,China,Gansu
Confirmed,23,1-25-2020,China,Guangxi
Confirmed,27,1-25-2020,China,Shandong
Confirmed,18,1-25-2020,China,Jiangxi
Confirmed,19,1-25-2020,China,Hainan
Confirmed,2,1-25-2020,China,Macau
Confirmed,6,1-25-2020,China,Shanxi
Confirmed,8,1-25-2020,China,Hebei
Confirmed,57,1-25-2020,China,Chongqing
Confirmed,33,1-25-2020,China,Shanghai
Confirmed,39,1-25-2020,China,Anhui
Confirmed,5,1-25-2020,China,Hong Kong
Confirmed,7,1-25-2020,China,Inner Mongolia
Confirmed,1,1-25-2020,China,Qinghai
Confirmed,62,1-25-2020,China,Zhejiang
Confirmed,78,1-25-2020,China,Guangdong
Confirmed,41,1-25-2020,China,Beijing
Confirmed,4,1-25-2020,China,Jilin
Confirmed,32,1-25-2020,China,Henan
Confirmed,11,1-25-2020,China,Yunnan
Confirmed,104,1-26-2020,China,Zhejiang
Confirmed,1,1-26-2020,China,Qinghai
Confirmed,4,1-26-2020,China,Jilin
Confirmed,21,1-26-2020,China,Liaoning
Confirmed,9,1-26-2020,China,Shanxi
Confirmed,15,1-26-2020,China,Heilongjiang
Confirmed,83,1-26-2020,China,Henan
Confirmed,14,1-26-2020,China,Tianjin
Confirmed,33,1-26-2020,China,Jiangsu
Confirmed,7,1-26-2020,China,Inner Mongolia
Confirmed,69,1-26-2020,China,Hunan
Confirmed,1058,1-26-2020,China,Hubei
Confirmed,4,1-26-2020,China,Ningxia
Confirmed,13,1-26-2020,China,Hebei
Confirmed,44,1-26-2020,China,Sichuan
Confirmed,36,1-26-2020,China,Guangxi
Confirmed,16,1-26-2020,China,Yunnan
Confirmed,5,1-26-2020,China,Guizhou
Confirmed,111,1-26-2020,China,Guangdong
Confirmed,68,1-26-2020,China,Beijing
Confirmed,22,1-26-2020,China,Shaanxi
Confirmed,4,1-26-2020,China,Xinjiang
Confirmed,36,1-26-2020,China,Jiangxi
Confirmed,40,1-26-2020,China,Shanghai
Confirmed,75,1-26-2020,China,Chongqing
Confirmed,22,1-26-2020,China,Hainan
Confirmed,35,1-26-2020,China,Fujian
Confirmed,46,1-26-2020,China,Shandong
Confirmed,8,1-26-2020,China,Hong Kong
Confirmed,0,1-26-2020,China,Tibet
Confirmed,60,1-26-2020,China,Anhui
Confirmed,7,1-26-2020,China,Gansu
Confirmed,5,1-26-2020,China,Macau
Confirmed,6,1-27-2020,China,Qinghai
Confirmed,18,1-27-2020,China,Hebei
Confirmed,6,1-27-2020,China,Macau
Confirmed,110,1-27-2020,China,Chongqing
Confirmed,33,1-27-2020,China,Hainan
Confirmed,13,1-27-2020,China,Shanxi
Confirmed,69,1-27-2020,China,Sichuan
Confirmed,59,1-27-2020,China,Fujian
Confirmed,128,1-27-2020,China,Henan
Confirmed,0,1-27-2020,China,Tibet
Confirmed,7,1-27-2020,China,Ningxia
Confirmed,80,1-27-2020,China,Beijing
Confirmed,100,1-27-2020,China,Hunan
Confirmed,128,1-27-2020,China,Zhejiang
Confirmed,151,1-27-2020,China,Guangdong
Confirmed,26,1-27-2020,China,Yunnan
Confirmed,5,1-27-2020,China,Xinjiang
Confirmed,7,1-27-2020,China,Guizhou
Confirmed,35,1-27-2020,China,Shaanxi
Confirmed,27,1-27-2020,China,Liaoning
Confirmed,1423,1-27-2020,China,Hubei
Confirmed,6,1-27-2020,China,Jilin
Confirmed,53,1-27-2020,China,Shanghai
Confirmed,47,1-27-2020,China,Jiangsu
Confirmed,23,1-27-2020,China,Tianjin
Confirmed,21,1-27-2020,China,Heilongjiang
Confirmed,8,1-27-2020,China,Hong Kong
Confirmed,72,1-27-2020,China,Jiangxi
Confirmed,14,1-27-2020,China,Gansu
Confirmed,46,1-27-2020,China,Guangxi
Confirmed,70,1-27-2020,China,Anhui
Confirmed,11,1-27-2020,China,Inner Mongolia
Confirmed,75,1-27-2020,China,Shandong
Confirmed,106,1-28-2020,China,Anhui
Confirmed,66,1-28-2020,China,Shanghai
Confirmed,91,1-28-2020,China,Beijing
Confirmed,10,1-28-2020,China,Xinjiang
Confirmed,95,1-28-2020,China,Shandong
Confirmed,207,1-28-2020,China,Guangdong
Confirmed,3554,1-28-2020,China,Hubei
Confirmed,34,1-28-2020,China,Liaoning
Confirmed,70,1-28-2020,China,Jiangsu
Confirmed,168,1-28-2020,China,Henan
Confirmed,132,1-28-2020,China,Chongqing
Confirmed,6,1-28-2020,China,Qinghai
Confirmed,109,1-28-2020,China,Jiangxi
Confirmed,0,1-28-2020,China,Tibet
Confirmed,15,1-28-2020,China,Inner Mongolia
Confirmed,11,1-28-2020,China,Ningxia
Confirmed,40,1-28-2020,China,Hainan
Confirmed,33,1-28-2020,China,Heilongjiang
Confirmed,24,1-28-2020,China,Tianjin
Confirmed,9,1-28-2020,China,Guizhou
Confirmed,27,1-28-2020,China,Shanxi
Confirmed,8,1-28-2020,China,Hong Kong
Confirmed,46,1-28-2020,China,Shaanxi
Confirmed,19,1-28-2020,China,Gansu
Confirmed,8,1-28-2020,China,Jilin
Confirmed,173,1-28-2020,China,Zhejiang
Confirmed,90,1-28-2020,China,Sichuan
Confirmed,7,1-28-2020,China,Macau
Confirmed,51,1-28-2020,China,Guangxi
Confirmed,44,1-28-2020,China,Yunnan
Confirmed,33,1-28-2020,China,Hebei
Confirmed,143,1-28-2020,China,Hunan
Confirmed,80,1-28-2020,China,Fujian
Confirmed,16,1-29-2020,China,Inner Mongolia
Confirmed,56,1-29-2020,China,Shaanxi
Confirmed,24,1-29-2020,China,Gansu
Confirmed,96,1-29-2020,China,Shanghai
Confirmed,38,1-29-2020,China,Heilongjiang
Confirmed,6,1-29-2020,China,Qinghai
Confirmed,43,1-29-2020,China,Hainan
Confirmed,152,1-29-2020,China,Anhui
Confirmed,27,1-29-2020,China,Tianjin
Confirmed,221,1-29-2020,China,Hunan
Confirmed,27,1-29-2020,China,Shanxi
Confirmed,147,1-29-2020,China,Chongqing
Confirmed,58,1-29-2020,China,Guangxi
Confirmed,9,1-29-2020,China,Jilin
Confirmed,7,1-29-2020,China,Macau
Confirmed,3554,1-29-2020,China,Hubei
Confirmed,108,1-29-2020,China,Sichuan
Confirmed,277,1-29-2020,China,Guangdong
Confirmed,0,1-29-2020,China,Tibet
Confirmed,39,1-29-2020,China,Liaoning
Confirmed,99,1-29-2020,China,Jiangsu
Confirmed,109,1-29-2020,China,Jiangxi
Confirmed,296,1-29-2020,China,Zhejiang
Confirmed,206,1-29-2020,China,Henan
Confirmed,111,1-29-2020,China,Beijing
Confirmed,13,1-29-2020,China,Xinjiang
Confirmed,130,1-29-2020,China,Shandong
Confirmed,10,1-29-2020,China,Hong Kong
Confirmed,55,1-29-2020,China,Yunnan
Confirmed,12,1-29-2020,China,Ningxia
Confirmed,9,1-29-2020,China,Guizhou
Confirmed,84,1-29-2020,China,Fujian
Confirmed,48,1-29-2020,China,Hebei
Confirmed,26,1-30-2020,China,Gansu
Confirmed,278,1-30-2020,China,Henan
Confirmed,31,1-30-2020,China,Tianjin
Confirmed,35,1-30-2020,China,Shanxi
Confirmed,158,1-30-2020,China,Shandong
Confirmed,44,1-30-2020,China,Heilongjiang
Confirmed,101,1-30-2020,China,Fujian
Confirmed,114,1-30-2020,China,Beijing
Confirmed,46,1-30-2020,China,Hainan
Confirmed,70,1-30-2020,China,Yunnan
Confirmed,63,1-30-2020,China,Shaanxi
Confirmed,354,1-30-2020,China,Guangdong
Confirmed,112,1-30-2020,China,Shanghai
Confirmed,8,1-30-2020,China,Qinghai
Confirmed,14,1-30-2020,China,Xinjiang
Confirmed,19,1-30-2020,China,Inner Mongolia
Confirmed,1,1-30-2020,China,Tibet
Confirmed,17,1-30-2020,China,Ningxia
Confirmed,428,1-30-2020,China,Zhejiang
Confirmed,65,1-30-2020,China,Hebei
Confirmed,7,1-30-2020,China,Macau
Confirmed,41,1-30-2020,China,Liaoning
Confirmed,10,1-30-2020,China,Hong Kong
Confirmed,14,1-30-2020,China,Jilin
Confirmed,129,1-30-2020,China,Jiangsu
Confirmed,142,1-30-2020,China,Sichuan
Confirmed,277,1-30-2020,China,Hunan
Confirmed,78,1-30-2020,China,Guangxi
Confirmed,200,1-30-2020,China,Anhui
Confirmed,4903,1-30-2020,China,Hubei
Confirmed,182,1-30-2020,China,Chongqing
Confirmed,12,1-30-2020,China,Guizhou
Confirmed,162,1-30-2020,China,Jiangxi
Confirmed,82,1-31-2020,China,Hebei
Confirmed,48,1-31-2020,China,Liaoning
Confirmed,14,1-31-2020,China,Jilin
Confirmed,352,1-31-2020,China,Henan
Confirmed,87,1-31-2020,China,Shaanxi
Confirmed,211,1-31-2020,China,Chongqing
Confirmed,39,1-31-2020,China,Shanxi
Confirmed,5806,1-31-2020,China,Hubei
Confirmed,8,1-31-2020,China,Qinghai
Confirmed,240,1-31-2020,China,Jiangxi
Confirmed,7,1-31-2020,China,Macau
Confirmed,168,1-31-2020,China,Jiangsu
Confirmed,17,1-31-2020,China,Xinjiang
Confirmed,184,1-31-2020,China,Shandong
Confirmed,436,1-31-2020,China,Guangdong
Confirmed,139,1-31-2020,China,Beijing
Confirmed,12,1-31-2020,China,Hong Kong
Confirmed,20,1-31-2020,China,Inner Mongolia
Confirmed,332,1-31-2020,China,Hunan
Confirmed,177,1-31-2020,China,Sichuan
Confirmed,83,1-31-2020,China,Yunnan
Confirmed,538,1-31-2020,China,Zhejiang
Confirmed,120,1-31-2020,China,Fujian
Confirmed,21,1-31-2020,China,Ningxia
Confirmed,59,1-31-2020,China,Heilongjiang
Confirmed,29,1-31-2020,China,Gansu
Confirmed,52,1-31-2020,China,Hainan
Confirmed,135,1-31-2020,China,Shanghai
Confirmed,87,1-31-2020,China,Guangxi
Confirmed,1,1-31-2020,China,Tibet
Confirmed,32,1-31-2020,China,Tianjin
Confirmed,237,1-31-2020,China,Anhui
Confirmed,29,1-31-2020,China,Guizhou
Confirmed,247,02-01-20,China,Chongqing
Confirmed,169,02-01-20,China,Shanghai
Confirmed,100,02-01-20,China,Guangxi
Confirmed,80,02-01-20,China,Heilongjiang
Confirmed,168,02-01-20,China,Beijing
Confirmed,17,02-01-20,China,Jilin
Confirmed,389,02-01-20,China,Hunan
Confirmed,23,02-01-20,China,Inner Mongolia
Confirmed,535,02-01-20,China,Guangdong
Confirmed,29,02-01-20,China,Guizhou
Confirmed,93,02-01-20,China,Yunnan
Confirmed,599,02-01-20,China,Zhejiang
Confirmed,422,02-01-20,China,Henan
Confirmed,64,02-01-20,China,Liaoning
Confirmed,297,02-01-20,China,Anhui
Confirmed,41,02-01-20,China,Tianjin
Confirmed,202,02-01-20,China,Jiangsu
Confirmed,18,02-01-20,China,Xinjiang
Confirmed,96,02-01-20,China,Hebei
Confirmed,40,02-01-20,China,Gansu
Confirmed,9,02-01-20,China,Qinghai
Confirmed,26,02-01-20,China,Ningxia
Confirmed,7153,02-01-20,China,Hubei
Confirmed,7,02-01-20,China,Macau
Confirmed,13,02-01-20,China,Hong Kong
Confirmed,144,02-01-20,China,Fujian
Confirmed,62,02-01-20,China,Hainan
Confirmed,47,02-01-20,China,Shanxi
Confirmed,207,02-01-20,China,Sichuan
Confirmed,1,02-01-20,China,Tibet
Confirmed,101,02-01-20,China,Shaanxi
Confirmed,286,02-01-20,China,Jiangxi
Confirmed,206,02-01-20,China,Shandong
Confirmed,182,02-02-20,China,Shanghai
Confirmed,66,02-02-20,China,Shanxi
Confirmed,191,02-02-20,China,Beijing
Confirmed,236,02-02-20,China,Jiangsu
Confirmed,23,02-02-20,China,Jilin
Confirmed,64,02-02-20,China,Hainan
Confirmed,15,02-02-20,China,Hong Kong
Confirmed,463,02-02-20,China,Hunan
Confirmed,70,02-02-20,China,Liaoning
Confirmed,159,02-02-20,China,Fujian
Confirmed,28,02-02-20,China,Ningxia
Confirmed,95,02-02-20,China,Heilongjiang
Confirmed,340,02-02-20,China,Anhui
Confirmed,493,02-02-20,China,Henan
Confirmed,111,02-02-20,China,Guangxi
Confirmed,48,02-02-20,China,Tianjin
Confirmed,8,02-02-20,China,Macau
Confirmed,51,02-02-20,China,Gansu
Confirmed,661,02-02-20,China,Zhejiang
Confirmed,632,02-02-20,China,Guangdong
Confirmed,230,02-02-20,China,Shandong
Confirmed,21,02-02-20,China,Xinjiang
Confirmed,333,02-02-20,China,Jiangxi
Confirmed,1,02-02-20,China,Tibet
Confirmed,38,02-02-20,China,Guizhou
Confirmed,105,02-02-20,China,Yunnan
Confirmed,300,02-02-20,China,Chongqing
Confirmed,116,02-02-20,China,Shaanxi
Confirmed,231,02-02-20,China,Sichuan
Confirmed,104,02-02-20,China,Hebei
Confirmed,27,02-02-20,China,Inner Mongolia
Confirmed,11177,02-02-20,China,Hubei
Confirmed,11,02-02-20,China,Qinghai
Confirmed,34,02-03-20,China,Inner Mongolia
Confirmed,46,02-03-20,China,Guizhou
Confirmed,1,02-03-20,China,Tibet
Confirmed,72,02-03-20,China,Hainan
Confirmed,13522,02-03-20,China,Hubei
Confirmed,74,02-03-20,China,Liaoning
Confirmed,31,02-03-20,China,Jilin
Confirmed,128,02-03-20,China,Shaanxi
Confirmed,259,02-03-20,China,Shandong
Confirmed,203,02-03-20,China,Shanghai
Confirmed,521,02-03-20,China,Hunan
Confirmed,337,02-03-20,China,Chongqing
Confirmed,24,02-03-20,China,Xinjiang
Confirmed,566,02-03-20,China,Henan
Confirmed,724,02-03-20,China,Zhejiang
Confirmed,60,02-03-20,China,Tianjin
Confirmed,31,02-03-20,China,Ningxia
Confirmed,408,02-03-20,China,Anhui
Confirmed,121,02-03-20,China,Heilongjiang
Confirmed,117,02-03-20,China,Yunnan
Confirmed,127,02-03-20,China,Guangxi
Confirmed,254,02-03-20,China,Sichuan
Confirmed,8,02-03-20,China,Macau
Confirmed,271,02-03-20,China,Jiangsu
Confirmed,212,02-03-20,China,Beijing
Confirmed,74,02-03-20,China,Shanxi
Confirmed,55,02-03-20,China,Gansu
Confirmed,13,02-03-20,China,Qinghai
Confirmed,15,02-03-20,China,Hong Kong
Confirmed,113,02-03-20,China,Hebei
Confirmed,725,02-03-20,China,Guangdong
Confirmed,179,02-03-20,China,Fujian
Confirmed,391,02-03-20,China,Jiangxi
Confirmed,10,02-04-20,China,Macau
Confirmed,80,02-04-20,China,Hainan
Confirmed,34,02-04-20,China,Ningxia
Confirmed,1,02-04-20,China,Tibet
Confirmed,126,02-04-20,China,Hebei
Confirmed,67,02-04-20,China,Tianjin
Confirmed,308,02-04-20,China,Jiangsu
Confirmed,829,02-04-20,China,Zhejiang
Confirmed,58,02-04-20,China,Guizhou
Confirmed,139,02-04-20,China,Guangxi
Confirmed,480,02-04-20,China,Anhui
Confirmed,476,02-04-20,China,Jiangxi
Confirmed,29,02-04-20,China,Xinjiang
Confirmed,17,02-04-20,China,Hong Kong
Confirmed,42,02-04-20,China,Jilin
Confirmed,122,02-04-20,China,Yunnan
Confirmed,219,02-04-20,China,Shanghai
Confirmed,35,02-04-20,China,Inner Mongolia
Confirmed,57,02-04-20,China,Gansu
Confirmed,142,02-04-20,China,Shaanxi
Confirmed,155,02-04-20,China,Heilongjiang
Confirmed,228,02-04-20,China,Beijing
Confirmed,81,02-04-20,China,Liaoning
Confirmed,15,02-04-20,China,Qinghai
Confirmed,194,02-04-20,China,Fujian
Confirmed,593,02-04-20,China,Hunan
Confirmed,282,02-04-20,China,Sichuan
Confirmed,81,02-04-20,China,Shanxi
Confirmed,813,02-04-20,China,Guangdong
Confirmed,275,02-04-20,China,Shandong
Confirmed,675,02-04-20,China,Henan
Confirmed,366,02-04-20,China,Chongqing
Confirmed,16678,02-04-20,China,Hubei
Confirmed,81,02-05-20,China,Shanxi
Confirmed,895,02-05-20,China,Guangdong
Confirmed,764,02-05-20,China,Henan
Confirmed,17,02-05-20,China,Qinghai
Confirmed,54,02-05-20,China,Jilin
Confirmed,301,02-05-20,China,Sichuan
Confirmed,34,02-05-20,China,Ningxia
Confirmed,21,02-05-20,China,Hong Kong
Confirmed,19665,02-05-20,China,Hubei
Confirmed,32,02-05-20,China,Xinjiang
Confirmed,10,02-05-20,China,Macau
Confirmed,530,02-05-20,China,Anhui
Confirmed,150,02-05-20,China,Guangxi
Confirmed,64,02-05-20,China,Guizhou
Confirmed,307,02-05-20,China,Shandong
Confirmed,389,02-05-20,China,Chongqing
Confirmed,190,02-05-20,China,Heilongjiang
Confirmed,128,02-05-20,China,Yunnan
Confirmed,42,02-05-20,China,Inner Mongolia
Confirmed,205,02-05-20,China,Fujian
Confirmed,165,02-05-20,China,Shaanxi
Confirmed,253,02-05-20,China,Beijing
Confirmed,62,02-05-20,China,Gansu
Confirmed,341,02-05-20,China,Jiangsu
Confirmed,89,02-05-20,China,Liaoning
Confirmed,135,02-05-20,China,Hebei
Confirmed,661,02-05-20,China,Hunan
Confirmed,243,02-05-20,China,Shanghai
Confirmed,69,02-05-20,China,Tianjin
Confirmed,548,02-05-20,China,Jiangxi
Confirmed,895,02-05-20,China,Zhejiang
Confirmed,1,02-05-20,China,Tibet
Confirmed,99,02-05-20,China,Hainan
Confirmed,40,02-06-20,China,Ningxia
Confirmed,411,02-06-20,China,Chongqing
Confirmed,10,02-06-20,China,Macau
Confirmed,600,02-06-20,China,Jiangxi
Confirmed,106,02-06-20,China,Hainan
Confirmed,711,02-06-20,China,Hunan
Confirmed,79,02-06-20,China,Tianjin
Confirmed,173,02-06-20,China,Shaanxi
Confirmed,591,02-06-20,China,Anhui
Confirmed,96,02-06-20,China,Shanxi
Confirmed,274,02-06-20,China,Beijing
Confirmed,347,02-06-20,China,Shandong
Confirmed,71,02-06-20,China,Guizhou
Confirmed,18,02-06-20,China,Qinghai
Confirmed,94,02-06-20,China,Liaoning
Confirmed,1,02-06-20,China,Tibet
Confirmed,62,02-06-20,China,Gansu
Confirmed,215,02-06-20,China,Fujian
Confirmed,36,02-06-20,China,Xinjiang
Confirmed,257,02-06-20,China,Shanghai
Confirmed,373,02-06-20,China,Jiangsu
Confirmed,22112,02-06-20,China,Hubei
Confirmed,157,02-06-20,China,Hebei
Confirmed,168,02-06-20,China,Guangxi
Confirmed,46,02-06-20,China,Inner Mongolia
Confirmed,851,02-06-20,China,Henan
Confirmed,970,02-06-20,China,Guangdong
Confirmed,227,02-06-20,China,Heilongjiang
Confirmed,133,02-06-20,China,Yunnan
Confirmed,321,02-06-20,China,Sichuan
Confirmed,59,02-06-20,China,Jilin
Confirmed,24,02-06-20,China,Hong Kong
Confirmed,954,02-06-20,China,Zhejiang
Confirmed,914,02-07-20,China,Henan
Confirmed,224,02-07-20,China,Fujian
Confirmed,184,02-07-20,China,Shaanxi
Confirmed,50,02-07-20,China,Inner Mongolia
Confirmed,81,02-07-20,China,Guizhou
Confirmed,67,02-07-20,China,Gansu
Confirmed,297,02-07-20,China,Beijing
Confirmed,665,02-07-20,China,Anhui
Confirmed,18,02-07-20,China,Qinghai
Confirmed,43,02-07-20,China,Ningxia
Confirmed,386,02-07-20,China,Shandong
Confirmed,104,02-07-20,China,Shanxi
Confirmed,426,02-07-20,China,Chongqing
Confirmed,65,02-07-20,China,Jilin
Confirmed,661,02-07-20,China,Jiangxi
Confirmed,1,02-07-20,China,Tibet
Confirmed,277,02-07-20,China,Heilongjiang
Confirmed,172,02-07-20,China,Guangxi
Confirmed,39,02-07-20,China,Xinjiang
Confirmed,81,02-07-20,China,Tianjin
Confirmed,1034,02-07-20,China,Guangdong
Confirmed,772,02-07-20,China,Hunan
Confirmed,117,02-07-20,China,Hainan
Confirmed,172,02-07-20,China,Hebei
Confirmed,344,02-07-20,China,Sichuan
Confirmed,99,02-07-20,China,Liaoning
Confirmed,10,02-07-20,China,Macau
Confirmed,277,02-07-20,China,Shanghai
Confirmed,1006,02-07-20,China,Zhejiang
Confirmed,25,02-07-20,China,Hong Kong
Confirmed,138,02-07-20,China,Yunnan
Confirmed,24953,02-07-20,China,Hubei
Confirmed,408,02-07-20,China,Jiangsu
Confirmed,295,02-08-20,China,Heilongjiang
Confirmed,803,02-08-20,China,Hunan
Confirmed,195,02-08-20,China,Shaanxi
Confirmed,79,02-08-20,China,Gansu
Confirmed,286,02-08-20,China,Shanghai
Confirmed,88,02-08-20,China,Tianjin
Confirmed,981,02-08-20,China,Henan
Confirmed,439,02-08-20,China,Jiangsu
Confirmed,239,02-08-20,China,Fujian
Confirmed,45,02-08-20,China,Ningxia
Confirmed,27100,02-08-20,China,Hubei
Confirmed,315,02-08-20,China,Beijing
Confirmed,105,02-08-20,China,Liaoning
Confirmed,138,02-08-20,China,Yunnan
Confirmed,1,02-08-20,China,Tibet
Confirmed,183,02-08-20,China,Guangxi
Confirmed,1095,02-08-20,China,Guangdong
Confirmed,52,02-08-20,China,Inner Mongolia
Confirmed,18,02-08-20,China,Qinghai
Confirmed,69,02-08-20,China,Jilin
Confirmed,89,02-08-20,China,Guizhou
Confirmed,42,02-08-20,China,Xinjiang
Confirmed,428,02-08-20,China,Chongqing
Confirmed,115,02-08-20,China,Shanxi
Confirmed,195,02-08-20,China,Hebei
Confirmed,416,02-08-20,China,Shandong
Confirmed,10,02-08-20,China,Macau
Confirmed,698,02-08-20,China,Jiangxi
Confirmed,124,02-08-20,China,Hainan
Confirmed,364,02-08-20,China,Sichuan
Confirmed,733,02-08-20,China,Anhui
Confirmed,26,02-08-20,China,Hong Kong
Confirmed,1048,02-08-20,China,Zhejiang
Confirmed,1075,02-09-20,China,Zhejiang
Confirmed,468,02-09-20,China,Jiangsu
Confirmed,91,02-09-20,China,Tianjin
Confirmed,119,02-09-20,China,Shanxi
Confirmed,29631,02-09-20,China,Hubei
Confirmed,1,02-09-20,China,Tibet
Confirmed,208,02-09-20,China,Shaanxi
Confirmed,779,02-09-20,China,Anhui
Confirmed,195,02-09-20,China,Guangxi
Confirmed,45,02-09-20,China,Ningxia
Confirmed,740,02-09-20,China,Jiangxi
Confirmed,83,02-09-20,China,Gansu
Confirmed,1033,02-09-20,China,Henan
Confirmed,18,02-09-20,China,Qinghai
Confirmed,107,02-09-20,China,Liaoning
Confirmed,307,02-09-20,China,Heilongjiang
Confirmed,78,02-09-20,China,Jilin
Confirmed,29,02-09-20,China,Hong Kong
Confirmed,131,02-09-20,China,Hainan
Confirmed,45,02-09-20,China,Xinjiang
Confirmed,99,02-09-20,China,Guizhou
Confirmed,468,02-09-20,China,Chongqing
Confirmed,10,02-09-20,China,Macau
Confirmed,838,02-09-20,China,Hunan
Confirmed,1131,02-09-20,China,Guangdong
Confirmed,141,02-09-20,China,Yunnan
Confirmed,293,02-09-20,China,Shanghai
