id;date;quantity;fk_place;fk_type
40534;2020/04/28 00:00:00.000;10752;1000;1
40535;2020/04/27 00:00:00.000;10738;1000;1
40536;2020/04/26 00:00:00.000;10728;1000;1
40537;2020/04/25 00:00:00.000;10718;1000;1
40538;2020/04/24 00:00:00.000;10708;1000;1
40539;2020/04/23 00:00:00.000;10702;1000;1
40540;2020/04/22 00:00:00.000;10694;1000;1
40541;2020/04/21 00:00:00.000;10683;1000;1
40542;2020/04/20 00:00:00.000;10674;1000;1
40543;2020/04/19 00:00:00.000;10661;1000;1
40544;2020/04/18 00:00:00.000;10653;1000;1
40545;2020/04/17 00:00:00.000;10635;1000;1
40546;2020/04/16 00:00:00.000;10613;1000;1
40547;2020/04/15 00:00:00.000;10591;1000;1
40548;2020/04/14 00:00:00.000;10564;1000;1
40549;2020/04/13 00:00:00.000;10537;1000;1
40550;2020/04/12 00:00:00.000;10512;1000;1
40551;2020/04/11 00:00:00.000;10450;1000;1
40552;2020/04/10 00:00:00.000;10450;1000;1
40553;2020/04/09 00:00:00.000;10423;1000;1
40554;2020/04/08 00:00:00.000;10384;1000;1
40555;2020/04/07 00:00:00.000;10331;1000;1
40556;2020/04/06 00:00:00.000;10284;1000;1
40557;2020/04/05 00:00:00.000;10237;1000;1
40558;2020/04/04 00:00:00.000;10156;1000;1
40559;2020/04/03 00:00:00.000;10062;1000;1
40560;2020/04/02 00:00:00.000;9976;1000;1
40561;2020/04/01 00:00:00.000;9786;1000;1
40562;2020/03/31 00:00:00.000;9786;1000;1
40563;2020/03/30 00:00:00.000;9661;1000;1
40564;2020/03/29 00:00:00.000;9583;1000;1
40565;2020/03/28 00:00:00.000;9478;1000;1
40566;2020/03/27 00:00:00.000;9332;1000;1
40567;2020/03/26 00:00:00.000;9241;1000;1
40568;2020/03/25 00:00:00.000;9137;1000;1
40569;2020/03/24 00:00:00.000;9037;1000;1
40570;2020/03/23 00:00:00.000;8961;1000;1
40571;2020/03/22 00:00:00.000;8897;1000;1
40572;2020/03/21 00:00:00.000;8799;1000;1
40573;2020/03/20 00:00:00.000;8652;1000;1
40574;2020/03/19 00:00:00.000;8565;1000;1
40575;2020/03/18 00:00:00.000;8413;1000;1
40576;2020/03/17 00:00:00.000;8320;1000;1
40577;2020/03/16 00:00:00.000;8236;1000;1
40578;2020/03/15 00:00:00.000;8162;1000;1
40579;2020/03/14 00:00:00.000;8086;1000;1
40580;2020/03/13 00:00:00.000;7979;1000;1
40581;2020/03/12 00:00:00.000;7869;1000;1
40582;2020/03/11 00:00:00.000;7755;1000;1
40583;2020/03/10 00:00:00.000;7513;1000;1
40584;2020/03/09 00:00:00.000;7382;1000;1
40585;2020/03/08 00:00:00.000;7134;1000;1
40586;2020/03/07 00:00:00.000;6767;1000;1
40587;2020/03/06 00:00:00.000;6284;1000;1
40588;2020/03/05 00:00:00.000;5766;1000;1
40589;2020/03/04 00:00:00.000;5328;1000;1
40590;2020/03/03 00:00:00.000;4812;1000;1
40591;2020/03/02 00:00:00.000;4212;1000;1
40592;2020/03/01 00:00:00.000;3526;1000;1
40593;2020/02/29 00:00:00.000;2931;1000;1
40594;2020/02/28 00:00:00.000;2022;1000;1
40595;2020/02/27 00:00:00.000;1595;1000;1
40596;2020/02/26 00:00:00.000;1146;1000;1
40597;2020/02/25 00:00:00.000;892;1000;1
40598;2020/02/24 00:00:00.000;762;1000;1
40599;2020/02/23 00:00:00.000;601;1000;1
40600;2020/02/22 00:00:00.000;345;1000;1
40601;2020/02/21 00:00:00.000;155;1000;1
40602;2020/02/20 00:00:00.000;80;1000;1
40603;2020/02/19 00:00:00.000;46;1000;1
40604;2020/02/18 00:00:00.000;31;1000;1
40605;2020/02/17 00:00:00.000;30;1000;1
40606;2020/02/16 00:00:00.000;29;1000;1
40607;2020/02/15 00:00:00.000;28;1000;1
40608;2020/02/14 00:00:00.000;28;1000;1
40609;2020/02/13 00:00:00.000;28;1000;1
40610;2020/02/12 00:00:00.000;28;1000;1
40611;2020/02/11 00:00:00.000;28;1000;1
40612;2020/02/10 00:00:00.000;27;1000;1
40613;2020/02/09 00:00:00.000;25;1000;1
40614;2020/02/08 00:00:00.000;24;1000;1
40615;2020/02/07 00:00:00.000;24;1000;1
40616;2020/02/06 00:00:00.000;23;1000;1
40617;2020/02/05 00:00:00.000;18;1000;1
40618;2020/02/04 00:00:00.000;16;1000;1
40619;2020/02/03 00:00:00.000;15;1000;1
40620;2020/02/02 00:00:00.000;15;1000;1
40621;2020/02/01 00:00:00.000;12;1000;1
40622;2020/01/31 00:00:00.000;7;1000;1
40623;2020/01/30 00:00:00.000;4;1000;1
40624;2020/01/29 00:00:00.000;4;1000;1
40625;2020/01/28 00:00:00.000;4;1000;1
40626;2020/01/27 00:00:00.000;4;1000;1
40627;2020/01/26 00:00:00.000;3;1000;1
40628;2020/01/25 00:00:00.000;2;1000;1
40629;2020/01/24 00:00:00.000;2;1000;1
40630;2020/01/23 00:00:00.000;1;1000;1
40631;2020/01/22 00:00:00.000;1;1000;1
40632;2020/01/21 00:00:00.000;1;1000;1
40633;2020/01/20 00:00:00.000;1;1000;1
40634;2020/01/19 00:00:00.000;0;1000;1
40635;2020/01/18 00:00:00.000;0;1000;1
40636;2020/01/17 00:00:00.000;0;1000;1
40637;2020/01/16 00:00:00.000;0;1000;1
40638;2020/01/15 00:00:00.000;0;1000;1
40639;2020/01/14 00:00:00.000;0;1000;1
40640;2020/01/13 00:00:00.000;0;1000;1
40641;2020/01/12 00:00:00.000;0;1000;1
40642;2020/01/11 00:00:00.000;0;1000;1
40643;2020/01/10 00:00:00.000;0;1000;1
40644;2020/01/09 00:00:00.000;0;1000;1
40645;2020/01/08 00:00:00.000;0;1000;1
40646;2020/01/07 00:00:00.000;0;1000;1
40647;2020/01/06 00:00:00.000;0;1000;1
40648;2020/01/05 00:00:00.000;0;1000;1
40649;2020/01/04 00:00:00.000;0;1000;1
40650;2020/01/03 00:00:00.000;0;1000;1
40651;2020/01/02 00:00:00.000;0;1000;1
40652;2020/01/01 00:00:00.000;0;1000;1
40653;2019/12/31 00:00:00.000;0;1000;1
40654;2020/06/12 00:00:00.000;277;1000;2
40655;2020/06/11 00:00:00.000;276;1000;2
40656;2020/06/10 00:00:00.000;276;1000;2
40657;2020/06/09 00:00:00.000;274;1000;2
40658;2020/06/08 00:00:00.000;273;1000;2
40659;2020/06/07 00:00:00.000;273;1000;2
40660;2020/06/06 00:00:00.000;273;1000;2
40661;2020/06/05 00:00:00.000;273;1000;2
40662;2020/06/04 00:00:00.000;273;1000;2
40663;2020/06/03 00:00:00.000;273;1000;2
40664;2020/06/02 00:00:00.000;272;1000;2
40665;2020/06/01 00:00:00.000;271;1000;2
40666;2020/05/31 00:00:00.000;270;1000;2
40667;2020/05/30 00:00:00.000;269;1000;2
40668;2020/05/29 00:00:00.000;269;1000;2
40669;2020/05/28 00:00:00.000;269;1000;2
40670;2020/05/27 00:00:00.000;269;1000;2
40671;2020/05/26 00:00:00.000;269;1000;2
40672;2020/05/25 00:00:00.000;267;1000;2
40673;2020/05/24 00:00:00.000;266;1000;2
40674;2020/05/23 00:00:00.000;266;1000;2
40675;2020/05/22 00:00:00.000;264;1000;2
40676;2020/05/21 00:00:00.000;264;1000;2
40677;2020/05/20 00:00:00.000;263;1000;2
40678;2020/05/19 00:00:00.000;263;1000;2
40679;2020/05/18 00:00:00.000;263;1000;2
40680;2020/05/17 00:00:00.000;262;1000;2
40681;2020/05/16 00:00:00.000;262;1000;2
40682;2020/05/15 00:00:00.000;260;1000;2
40683;2020/05/14 00:00:00.000;260;1000;2
40684;2020/05/13 00:00:00.000;259;1000;2
40685;2020/05/12 00:00:00.000;258;1000;2
40686;2020/05/11 00:00:00.000;256;1000;2
40687;2020/05/10 00:00:00.000;256;1000;2
40688;2020/05/09 00:00:00.000;256;1000;2
40689;2020/05/08 00:00:00.000;256;1000;2
40690;2020/05/07 00:00:00.000;256;1000;2
40691;2020/05/06 00:00:00.000;255;1000;2
40692;2020/05/05 00:00:00.000;254;1000;2
40693;2020/05/04 00:00:00.000;252;1000;2
40694;2020/05/03 00:00:00.000;250;1000;2
40695;2020/05/02 00:00:00.000;250;1000;2
40696;2020/05/01 00:00:00.000;248;1000;2
40697;2020/04/30 00:00:00.000;247;1000;2
40698;2020/04/29 00:00:00.000;246;1000;2
40699;2020/04/28 00:00:00.000;244;1000;2
40700;2020/04/27 00:00:00.000;243;1000;2
40701;2020/04/26 00:00:00.000;242;1000;2
40702;2020/04/25 00:00:00.000;240;1000;2
40703;2020/04/24 00:00:00.000;240;1000;2
40704;2020/04/23 00:00:00.000;240;1000;2
40705;2020/04/22 00:00:00.000;238;1000;2
40706;2020/04/21 00:00:00.000;237;1000;2
40707;2020/04/20 00:00:00.000;236;1000;2
40708;2020/04/19 00:00:00.000;234;1000;2
40709;2020/04/18 00:00:00.000;232;1000;2
40710;2020/04/17 00:00:00.000;230;1000;2
40711;2020/04/16 00:00:00.000;229;1000;2
40712;2020/04/15 00:00:00.000;225;1000;2
40713;2020/04/14 00:00:00.000;222;1000;2
40714;2020/04/13 00:00:00.000;217;1000;2
40715;2020/04/12 00:00:00.000;214;1000;2
40716;2020/04/11 00:00:00.000;208;1000;2
40717;2020/04/10 00:00:00.000;208;1000;2
40718;2020/04/09 00:00:00.000;204;1000;2
40719;2020/04/08 00:00:00.000;200;1000;2
40720;2020/04/07 00:00:00.000;192;1000;2
40721;2020/04/06 00:00:00.000;186;1000;2
40722;2020/04/05 00:00:00.000;183;1000;2
40723;2020/04/04 00:00:00.000;177;1000;2
40724;2020/04/03 00:00:00.000;174;1000;2
40725;2020/04/02 00:00:00.000;169;1000;2
40726;2020/04/01 00:00:00.000;163;1000;2
40727;2020/03/31 00:00:00.000;163;1000;2
40728;2020/03/30 00:00:00.000;158;1000;2
40729;2020/03/29 00:00:00.000;152;1000;2
40730;2020/03/28 00:00:00.000;144;1000;2
40731;2020/03/27 00:00:00.000;139;1000;2
40732;2020/03/26 00:00:00.000;131;1000;2
40733;2020/03/25 00:00:00.000;126;1000;2
40734;2020/03/24 00:00:00.000;120;1000;2
40735;2020/03/23 00:00:00.000;113;1000;2
40736;2020/03/22 00:00:00.000;104;1000;2
40737;2020/03/21 00:00:00.000;103;1000;2
40738;2020/03/20 00:00:00.000;100;1000;2
40739;2020/03/19 00:00:00.000;91;1000;2
40740;2020/03/18 00:00:00.000;86;1000;2
40741;2020/03/17 00:00:00.000;81;1000;2
40742;2020/03/16 00:00:00.000;75;1000;2
40743;2020/03/15 00:00:00.000;75;1000;2
40744;2020/03/14 00:00:00.000;72;1000;2
40745;2020/03/13 00:00:00.000;67;1000;2
40746;2020/03/12 00:00:00.000;66;1000;2
40747;2020/03/11 00:00:00.000;60;1000;2
40748;2020/03/10 00:00:00.000;54;1000;2
40749;2020/03/09 00:00:00.000;51;1000;2
40750;2020/03/08 00:00:00.000;50;1000;2
40751;2020/03/07 00:00:00.000;44;1000;2
40752;2020/03/06 00:00:00.000;42;1000;2
40753;2020/03/05 00:00:00.000;35;1000;2
40754;2020/03/04 00:00:00.000;32;1000;2
40755;2020/03/03 00:00:00.000;28;1000;2
40756;2020/03/02 00:00:00.000;22;1000;2
40757;2020/03/01 00:00:00.000;17;1000;2
40758;2020/02/29 00:00:00.000;16;1000;2
40759;2020/02/28 00:00:00.000;13;1000;2
40760;2020/02/27 00:00:00.000;12;1000;2
40761;2020/02/26 00:00:00.000;11;1000;2
40762;2020/02/25 00:00:00.000;8;1000;2
40763;2020/02/24 00:00:00.000;7;1000;2
40764;2020/02/23 00:00:00.000;5;1000;2
40765;2020/02/22 00:00:00.000;2;1000;2
40766;2020/02/21 00:00:00.000;1;1000;2
40767;2020/02/20 00:00:00.000;0;1000;2
40768;2020/02/19 00:00:00.000;0;1000;2
40769;2020/02/18 00:00:00.000;0;1000;2
40770;2020/02/17 00:00:00.000;0;1000;2
40771;2020/02/16 00:00:00.000;0;1000;2
40772;2020/02/15 00:00:00.000;0;1000;2
40773;2020/02/14 00:00:00.000;0;1000;2
40774;2020/02/13 00:00:00.000;0;1000;2
40775;2020/02/12 00:00:00.000;0;1000;2
40776;2020/02/11 00:00:00.000;0;1000;2
40777;2020/02/10 00:00:00.000;0;1000;2
40778;2020/02/09 00:00:00.000;0;1000;2
40779;2020/02/08 00:00:00.000;0;1000;2
40780;2020/02/07 00:00:00.000;0;1000;2
40781;2020/02/06 00:00:00.000;0;1000;2
40782;2020/02/05 00:00:00.000;0;1000;2
40783;2020/02/04 00:00:00.000;0;1000;2
40784;2020/02/03 00:00:00.000;0;1000;2
40785;2020/02/02 00:00:00.000;0;1000;2
40786;2020/02/01 00:00:00.000;0;1000;2
40787;2020/01/31 00:00:00.000;0;1000;2
40788;2020/01/30 00:00:00.000;0;1000;2
40789;2020/01/29 00:00:00.000;0;1000;2
40790;2020/01/28 00:00:00.000;0;1000;2
40791;2020/01/27 00:00:00.000;0;1000;2
40792;2020/01/26 00:00:00.000;0;1000;2
40793;2020/01/25 00:00:00.000;0;1000;2
40794;2020/01/24 00:00:00.000;0;1000;2
40795;2020/01/23 00:00:00.000;0;1000;2
40796;2020/01/22 00:00:00.000;0;1000;2
40797;2020/01/21 00:00:00.000;0;1000;2
40798;2020/01/20 00:00:00.000;0;1000;2
40799;2020/01/19 00:00:00.000;0;1000;2
40800;2020/01/18 00:00:00.000;0;1000;2
40801;2020/01/17 00:00:00.000;0;1000;2
40802;2020/01/16 00:00:00.000;0;1000;2
40803;2020/01/15 00:00:00.000;0;1000;2
40804;2020/01/14 00:00:00.000;0;1000;2
40805;2020/01/13 00:00:00.000;0;1000;2
40806;2020/01/12 00:00:00.000;0;1000;2
40807;2020/01/11 00:00:00.000;0;1000;2
40808;2020/01/10 00:00:00.000;0;1000;2
40809;2020/01/09 00:00:00.000;0;1000;2
40810;2020/01/08 00:00:00.000;0;1000;2
40811;2020/01/07 00:00:00.000;0;1000;2
40812;2020/01/06 00:00:00.000;0;1000;2
40813;2020/01/05 00:00:00.000;0;1000;2
40814;2020/01/04 00:00:00.000;0;1000;2
40815;2020/01/03 00:00:00.000;0;1000;2
40816;2020/01/02 00:00:00.000;0;1000;2
40817;2020/01/01 00:00:00.000;0;1000;2
40818;2019/12/31 00:00:00.000;0;1000;2
